Date,Close,Balance,apl30,Month
3/7/2018,43.7575,10000,42.37,Mar-18
3/8/2018,44.235001,10000,42.39,Mar-18
3/9/2018,44.994999,10000,42.46,Mar-18
3/12/2018,45.43,10000,42.55,Mar-18
3/13/2018,44.9925,10000,42.65,Mar-18
3/14/2018,44.610001,10000,42.74,Mar-18
3/15/2018,44.662498,10000,42.84,Mar-18
3/16/2018,44.505001,10000,42.92,Mar-18
3/19/2018,43.825001,10000,43.05,Mar-18
3/20/2018,43.810001,10000,43.2,Mar-18
3/21/2018,42.817501,10000,43.27,Mar-18
3/22/2018,42.212502,10000,43.35,Mar-18
3/23/2018,41.235001,10000,43.43,Mar-18
3/26/2018,43.192501,10000,43.57,Mar-18
3/27/2018,42.084999,10000,43.61,Mar-18
3/28/2018,41.619999,10000,43.63,Mar-18
3/29/2018,41.945,10000,43.64,Mar-18
4/2/2018,41.669998,10000,43.58,Apr-18
4/3/2018,42.0975,10000,43.55,Apr-18
4/4/2018,42.9025,10000,43.55,Apr-18
4/5/2018,43.200001,10000,43.56,Apr-18
4/6/2018,42.095001,10000,43.53,Apr-18
4/9/2018,42.512501,10000,43.48,Apr-18
4/10/2018,43.3125,10000,43.43,Apr-18
4/11/2018,43.110001,10000,43.38,Apr-18
4/12/2018,43.535,10000,43.35,Apr-18
4/13/2018,43.682499,10000,43.35,Apr-18
4/16/2018,43.955002,10000,43.35,Apr-18
4/17/2018,44.560001,10000,43.36,Apr-18
4/18/2018,44.459999,10000,43.37,Apr-18
4/19/2018,43.200001,10000,43.35,Apr-18
4/20/2018,41.43,10000,43.26,Apr-18
4/23/2018,41.310001,10000,43.13,Apr-18
4/24/2018,40.735001,10000,42.98,Apr-18
4/25/2018,40.912498,10000,42.84,Apr-18
4/26/2018,41.055,10000,42.72,Apr-18
4/27/2018,40.580002,10000,42.59,Apr-18
4/30/2018,41.314999,10000,42.48,Apr-18
5/1/2018,42.275002,10000,42.43,May-18
5/2/2018,44.142502,10000,42.44,May-18
5/3/2018,44.2225,10000,42.49,May-18
5/4/2018,45.9575,10000,42.61,May-18
5/7/2018,46.290001,10000,42.78,May-18
5/8/2018,46.512501,10000,42.89,May-18
5/9/2018,46.84,10000,43.05,May-18
5/10/2018,47.509998,10000,43.24,May-18
5/11/2018,47.147499,10000,43.42,May-18
5/14/2018,47.037498,10000,43.6,May-18
5/15/2018,46.610001,10000,43.75,May-18
5/16/2018,47.044998,10000,43.89,May-18
5/17/2018,46.747501,10000,44,May-18
5/18/2018,46.577499,10000,44.15,May-18
5/21/2018,46.907501,10000,44.3,May-18
5/22/2018,46.790001,10000,44.42,May-18
5/23/2018,47.09,10000,44.55,May-18
5/24/2018,47.037498,10000,44.66,May-18
5/25/2018,47.145,10000,44.78,May-18
5/29/2018,46.974998,10000,44.88,May-18
5/30/2018,46.875,10000,44.96,May-18
5/31/2018,46.717499,10000,45.03,May-18
6/1/2018,47.560001,10000,45.18,Jun-18
6/4/2018,47.9575,10000,45.4,Jun-18
6/5/2018,48.327499,10000,45.63,Jun-18
6/6/2018,48.494999,10000,45.89,Jun-18
6/7/2018,48.365002,10000,46.14,Jun-18
6/8/2018,47.924999,10000,46.37,Jun-18
6/11/2018,47.807499,10000,46.61,Jun-18
6/12/2018,48.07,10000,46.83,Jun-18
6/13/2018,47.674999,10000,47.01,Jun-18
6/14/2018,47.700001,10000,47.13,Jun-18
6/15/2018,47.209999,10000,47.23,Jun-18
6/18/2018,47.185001,10000,47.27,Jun-18
6/19/2018,46.422501,10000,47.28,Jun-18
6/20/2018,46.625,10000,47.28,Jun-18
6/21/2018,46.365002,10000,47.26,Jun-18
6/22/2018,46.23,10000,47.22,Jun-18
6/25/2018,45.5425,10000,47.17,Jun-18
6/26/2018,46.107498,10000,47.14,Jun-18
6/27/2018,46.040001,10000,47.12,Jun-18
6/28/2018,46.375,10000,47.09,Jun-18
6/29/2018,46.2775,10000,47.08,Jun-18
7/2/2018,46.794998,10000,47.09,Jul-18
7/3/2018,45.98,10000,47.06,Jul-18
7/5/2018,46.349998,10000,47.04,Jul-18
7/6/2018,46.9925,10000,47.04,Jul-18
7/9/2018,47.645,10000,47.06,Jul-18
7/10/2018,47.587502,10000,47.07,Jul-18
7/11/2018,46.970001,10000,47.07,Jul-18
7/12/2018,47.7575,10000,47.1,Jul-18
7/13/2018,47.8325,10000,47.14,Jul-18
7/16/2018,47.727501,10000,47.14,Jul-18
7/17/2018,47.862499,10000,47.14,Jul-18
7/18/2018,47.599998,10000,47.12,Jul-18
7/19/2018,47.970001,10000,47.1,Jul-18
7/20/2018,47.860001,10000,47.08,Jul-18
7/23/2018,47.9025,10000,47.08,Jul-18
7/24/2018,48.25,10000,47.1,Jul-18
7/25/2018,48.705002,10000,47.12,Jul-18
7/26/2018,48.552502,10000,47.15,Jul-18
7/27/2018,47.744999,10000,47.15,Jul-18
7/30/2018,47.477501,10000,47.16,Jul-18
7/31/2018,47.572498,10000,47.17,Jul-18
8/1/2018,50.375,10000,47.3,Aug-18
8/2/2018,51.8475,10000,47.48,Aug-18
8/3/2018,51.997501,10000,47.66,Aug-18
8/6/2018,52.267502,10000,47.87,Aug-18
8/7/2018,51.7775,10000,48.07,Aug-18
8/8/2018,51.8125,10000,48.26,Aug-18
8/9/2018,52.220001,10000,48.47,Aug-18
8/10/2018,51.8825,10000,48.65,Aug-18
8/13/2018,52.217499,10000,48.85,Aug-18
8/14/2018,52.4375,10000,49.04,Aug-18
8/15/2018,52.560001,10000,49.26,Aug-18
8/16/2018,53.330002,10000,49.49,Aug-18
8/17/2018,54.395,10000,49.74,Aug-18
8/20/2018,53.865002,10000,49.95,Aug-18
8/21/2018,53.759998,10000,50.15,Aug-18
8/22/2018,53.762501,10000,50.38,Aug-18
8/23/2018,53.872501,10000,50.58,Aug-18
8/24/2018,54.040001,10000,50.79,Aug-18
8/27/2018,54.485001,10000,51.01,Aug-18
8/28/2018,54.924999,10000,51.25,Aug-18
8/29/2018,55.744999,10000,51.52,Aug-18
8/30/2018,56.2575,10000,51.8,Aug-18
8/31/2018,56.907501,10000,52.1,Aug-18
9/4/2018,57.09,10000,52.4,Sep-18
9/5/2018,56.717499,10000,52.69,Sep-18
9/6/2018,55.775002,10000,52.92,Sep-18
9/7/2018,55.325001,10000,53.15,Sep-18
9/10/2018,54.5825,10000,53.38,Sep-18
9/11/2018,55.962502,10000,53.66,Sep-18
9/12/2018,55.267502,10000,53.92,Sep-18
9/13/2018,56.602501,10000,54.12,Sep-18
9/14/2018,55.959999,10000,54.26,Sep-18
9/17/2018,54.470001,10000,54.34,Sep-18
9/18/2018,54.560001,10000,54.42,Sep-18
9/19/2018,54.592499,10000,54.51,Sep-18
9/20/2018,55.0075,10000,54.62,Sep-18
9/21/2018,54.415001,10000,54.69,Sep-18
9/24/2018,55.197498,10000,54.8,Sep-18
9/25/2018,55.547501,10000,54.91,Sep-18
9/26/2018,55.105,10000,55,Sep-18
9/27/2018,56.237499,10000,55.13,Sep-18
9/28/2018,56.435001,10000,55.23,Sep-18
10/1/2018,56.814999,10000,55.31,Oct-18
10/2/2018,57.32,10000,55.42,Oct-18
10/3/2018,58.017502,10000,55.57,Oct-18
10/4/2018,56.997501,10000,55.67,Oct-18
10/5/2018,56.072498,10000,55.75,Oct-18
10/8/2018,55.942501,10000,55.81,Oct-18
10/9/2018,56.717499,10000,55.89,Oct-18
10/10/2018,54.09,10000,55.86,Oct-18
10/11/2018,53.612499,10000,55.79,Oct-18
10/12/2018,55.5275,10000,55.76,Oct-18
10/15/2018,54.34,10000,55.68,Oct-18
10/16/2018,55.537498,10000,55.63,Oct-18
10/17/2018,55.297501,10000,55.58,Oct-18
10/18/2018,54.005001,10000,55.52,Oct-18
10/19/2018,54.827499,10000,55.5,Oct-18
10/22/2018,55.162498,10000,55.52,Oct-18
10/23/2018,55.682499,10000,55.51,Oct-18
10/24/2018,53.772499,10000,55.46,Oct-18
10/25/2018,54.950001,10000,55.41,Oct-18
10/26/2018,54.075001,10000,55.34,Oct-18
10/29/2018,53.060001,10000,55.3,Oct-18
10/30/2018,53.325001,10000,55.26,Oct-18
10/31/2018,54.715,10000,55.26,Oct-18
11/1/2018,55.555,10000,55.28,Nov-18
11/2/2018,51.869999,10000,55.19,Nov-18
11/5/2018,50.397499,10000,55.03,Nov-18
11/6/2018,50.942501,10000,54.88,Nov-18
11/7/2018,52.487499,10000,54.79,Nov-18
11/8/2018,52.122501,10000,54.66,Nov-18
11/9/2018,51.1175,10000,54.48,Nov-18
11/12/2018,48.5425,10000,54.2,Nov-18
11/13/2018,48.057499,9900,53.89,Nov-18
11/14/2018,46.700001,9620,53.52,Nov-18
11/15/2018,47.852501,9857,53.21,Nov-18
11/16/2018,48.3825,9967,52.96,Nov-18
11/19/2018,46.465,9967,52.64,Nov-18
11/20/2018,44.244999,9490,52.22,Nov-18
11/21/2018,44.195,9480,51.89,Nov-18
11/23/2018,43.072498,9239,51.54,Nov-18
11/26/2018,43.654999,9364,51.15,Nov-18
11/27/2018,43.560001,9343,50.79,Nov-18
11/28/2018,45.235001,9703,50.44,Nov-18
11/29/2018,44.887501,9703,50.1,Nov-18
11/30/2018,44.645,9650,49.79,Nov-18
12/3/2018,46.205002,9987,49.5,Dec
12/4/2018,44.172501,9987,49.13,Dec
12/6/2018,43.68,9876,48.73,Dec
12/7/2018,42.122501,9524,48.34,Dec
12/10/2018,42.400002,9587,47.92,Dec
12/11/2018,42.157501,9532,47.53,Dec
12/12/2018,42.275002,9558,47.17,Dec
12/13/2018,42.737499,9663,46.82,Dec
12/14/2018,41.369999,9663,46.37,Dec
12/17/2018,40.985001,9573,45.88,Dec
12/18/2018,41.517502,9697,45.54,Dec
12/19/2018,40.2225,9395,45.2,Dec
12/20/2018,39.2075,9158,44.81,Dec
12/21/2018,37.682499,8802,44.32,Dec
12/24/2018,36.7075,8574,43.8,Dec
12/26/2018,39.2925,9178,43.41,Dec
12/27/2018,39.037498,9178,43.09,Dec
12/28/2018,39.057499,9178,42.79,Dec
12/31/2018,39.435001,9178,42.55,Dec
1/2/2019,39.48,9178,42.27,Jan-19
1/3/2019,35.547501,9178,41.84,Jan-19
1/4/2019,37.064999,9570,41.53,Jan-19
1/7/2019,36.982498,9548,41.29,Jan-19
1/8/2019,37.6875,9730,41.07,Jan-19
1/9/2019,38.327499,9896,40.91,Jan-19
1/10/2019,38.450001,9896,40.74,Jan-19
1/11/2019,38.072498,9896,40.55,Jan-19
1/14/2019,37.5,9896,40.3,Jan-19
1/15/2019,38.267502,9896,40.08,Jan-19
1/16/2019,38.735001,9896,39.88,Jan-19
1/17/2019,38.965,9896,39.64,Jan-19
1/18/2019,39.205002,9896,39.47,Jan-19
1/22/2019,38.325001,9896,39.29,Jan-19
1/23/2019,38.48,9896,39.17,Jan-19
1/24/2019,38.174999,9896,39.03,Jan-19
